time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1494720000,1802.75,1736.13,1763.74,40635.4,72874378.57,1772.55,direct,2017-05-14,2017
1494806400,1776.65,1656.81,1772.55,80241.72,138499150.92,1708.92,direct,2017-05-15,2017
1494892800,1752.55,1653.72,1708.92,75541.37,130379207.17,1729.34,direct,2017-05-16,2017
1494979200,1842.83,1703.97,1729.34,94618.69,170954154.68,1801.3,direct,2017-05-17,2017
1495065600,1980.49,1791.12,1801.3,73095.54,135901905.39,1880.99,direct,2017-05-18,2017
1495152000,1969.7,1875.28,1880.99,98759.13,191523926.23,1962.0,direct,2017-05-19,2017
1495238400,2048.45,1944.4,1962.0,89862.03,179346919.05,2040.18,direct,2017-05-20,2017
1495324800,2094.94,1980.07,2040.18,78775.32,161036810.13,2044.19,direct,2017-05-21,2017
1495411200,2264.76,1998.61,2044.19,174376.65,373482496.01,2124.41,direct,2017-05-22,2017
1495497600,2286.3,2110.78,2124.41,114179.23,251969081.94,2272.58,direct,2017-05-23,2017
1495584000,2496.98,2263.29,2272.58,149254.84,353734030.88,2445.28,direct,2017-05-24,2017
1495670400,2781.76,2210.48,2445.28,248438.97,622139030.97,2307.22,direct,2017-05-25,2017
1495756800,2616.52,2051.45,2306.96,191494.03,441342711.51,2244.89,direct,2017-05-26,2017
1495843200,2322.37,1868.56,2244.89,222952.91,446034004.02,2052.43,direct,2017-05-27,2017
1495929600,2300.52,2051.07,2052.43,125004.39,266766116.87,2189.02,direct,2017-05-28,2017
1496016000,2337.35,2117.34,2189.02,92235.69,204101576.11,2278.21,direct,2017-05-29,2017
1496102400,2329.26,2147.1,2278.21,120964.11,270069146.9,2192.55,direct,2017-05-30,2017
1496188800,2330.62,2168.37,2192.55,117749.1,261223035.96,2303.34,direct,2017-05-31,2017
1496275200,2460.84,2303.34,2303.34,122696.44,290070431.91,2412.65,direct,2017-06-01,2017
1496361600,2493.97,2385.59,2412.65,83028.45,199765372.83,2492.6,direct,2017-06-02,2017
1496448000,2582.77,2449.95,2492.6,70956.49,177168595.51,2545.43,direct,2017-06-03,2017
1496534400,2559.79,2478.18,2545.43,59478.96,149060810.38,2524.06,direct,2017-06-04,2017
1496620800,2705.38,2523.92,2524.06,86686.38,225611887.49,2704.96,direct,2017-06-05,2017
1496707200,2931.24,2699.68,2704.96,192228.25,538772473.78,2870.5,direct,2017-06-06,2017
1496793600,2880.95,2626.56,2870.5,122676.04,340329903.73,2691.51,direct,2017-06-07,2017
1496880000,2808.41,2623.61,2691.51,95420.44,260898606.12,2798.78,direct,2017-06-08,2017
1496966400,2852.07,2786.07,2798.78,67044.96,189237110.88,2811.43,direct,2017-06-09,2017
1497052800,2914.19,2807.36,2811.43,86516.58,246869682.08,2900.25,direct,2017-06-10,2017
1497139200,2977.86,2867.25,2900.25,83026.07,241516660.76,2973.45,direct,2017-06-11,2017
1497225600,2985.06,2483.63,2973.45,217963.32,585158909.87,2656.77,direct,2017-06-12,2017
1497312000,2784.77,2647.44,2656.77,116738.08,314476276.72,2712.99,direct,2017-06-13,2017
1497398400,2803.72,2348.99,2712.99,174189.24,448294279.42,2467.27,direct,2017-06-14,2017
1497484800,2521.6,2125.56,2467.27,262787.33,606264366.01,2442.46,direct,2017-06-15,2017
1497571200,2536.42,2335.28,2442.46,117206.43,286630757.58,2508.58,direct,2017-06-16,2017
1497657600,2690.71,2454.81,2508.58,95948.29,246698591.9,2655.1,direct,2017-06-17,2017
1497744000,2676.04,2488.59,2655.1,92004.22,235239296.33,2539.56,direct,2017-06-18,2017
1497830400,2617.75,2518.78,2539.56,81829.22,210372750.85,2616.82,direct,2017-06-19,2017
1497916800,2800.48,2613.98,2616.82,111303.55,300034010.58,2754.38,direct,2017-06-20,2017
1498003200,2804.41,2624.35,2754.38,116033.61,313234721.45,2677.62,direct,2017-06-21,2017
1498089600,2757.32,2623.17,2677.62,78297.6,210318780.96,2722.84,direct,2017-06-22,2017
1498176000,2759.66,2699.48,2722.84,56938.1,155303414.19,2710.37,direct,2017-06-23,2017
1498262400,2741.56,2540.35,2710.37,86964.18,228007287.01,2590.05,direct,2017-06-24,2017
1498348800,2660.66,2472.37,2590.05,86972.43,220679135.83,2541.62,direct,2017-06-25,2017
1498435200,2584.75,2327.26,2541.62,165825.86,401912134.89,2446.05,direct,2017-06-26,2017
1498521600,2585.06,2309.63,2446.05,159263.78,381517099.87,2583.75,direct,2017-06-27,2017
1498608000,2616.95,2490.11,2583.75,110423.89,279792448.24,2577.74,direct,2017-06-28,2017
1498694400,2605.86,2526.51,2577.74,75323.92,191733499.8,2558.37,direct,2017-06-29,2017
1498780800,2576.28,2469.54,2558.37,73001.6,183878856.3,2480.61,direct,2017-06-30,2017
1498867200,2529.62,2387.47,2480.61,66319.98,160661673.8,2424.61,direct,2017-07-01,2017
1498953600,2555.34,2375.86,2424.61,67757.31,165839565.2,2536.46,direct,2017-07-02,2017
1499040000,2617.48,2506.3,2536.46,83418.16,212244951.2,2572.47,direct,2017-07-03,2017
1499126400,2658.73,2569.99,2572.47,80675.07,210433639.12,2617.32,direct,2017-07-04,2017
1499212800,2642.74,2562.04,2617.32,89719.19,232257106.93,2627.86,direct,2017-07-05,2017
1499299200,2634.84,2581.8,2627.86,60155.45,156558009.83,2614.24,direct,2017-07-06,2017
1499385600,2617.48,2484.73,2614.24,90447.94,229168229.22,2513.88,direct,2017-07-07,2017
1499472000,2568.73,2480.62,2513.88,54508.76,136973389.49,2564.86,direct,2017-07-08,2017
1499558400,2576.73,2509.65,2564.86,39161.96,99506518.51,2511.43,direct,2017-07-09,2017
1499644800,2530.34,2271.79,2511.43,123797.54,297270301.0,2344.02,direct,2017-07-10,2017
1499731200,2412.75,2265.48,2344.02,146630.2,341998621.09,2324.29,direct,2017-07-11,2017
1499817600,2424.82,2262.08,2324.29,109522.9,257095280.13,2403.09,direct,2017-07-12,2017
1499904000,2436.66,2334.96,2403.09,88166.37,208630220.69,2362.44,direct,2017-07-13,2017
1499990400,2370.53,2165.36,2362.44,114411.35,257704533.44,2234.17,direct,2017-07-14,2017
1500076800,2237.13,1974.03,2234.17,155317.39,320719096.8,1975.08,direct,2017-07-15,2017
1500163200,2044.41,1808.99,1975.08,189643.47,364287861.72,1914.09,direct,2017-07-16,2017
1500249600,2233.83,1913.79,1914.09,176887.53,368366495.35,2233.39,direct,2017-07-17,2017
1500336000,2400.74,2164.59,2233.39,202621.16,465220151.81,2320.23,direct,2017-07-18,2017
1500422400,2412.38,2243.13,2320.23,154319.01,357639189.58,2282.58,direct,2017-07-19,2017
1500508800,2932.81,2282.11,2282.58,310335.43,807416890.88,2866.02,direct,2017-07-20,2017
1500595200,2873.96,2622.54,2866.02,193756.93,529154789.97,2675.08,direct,2017-07-21,2017
1500681600,2876.71,2658.59,2675.08,121917.95,341992860.2,2836.53,direct,2017-07-22,2017
1500768000,2856.67,2675.65,2836.53,108229.76,299869260.34,2756.61,direct,2017-07-23,2017
1500854400,2798.89,2715.69,2756.61,83009.25,229047365.02,2763.42,direct,2017-07-24,2017
1500940800,2779.08,2472.62,2763.42,205883.15,534765380.75,2582.58,direct,2017-07-25,2017
1501027200,2631.73,2441.54,2582.58,135502.93,340465234.92,2559.21,direct,2017-07-26,2017
1501113600,2712.92,2547.74,2559.21,103832.54,269880857.99,2691.88,direct,2017-07-27,2017
1501200000,2843.78,2683.59,2691.88,138904.86,383479795.74,2806.75,direct,2017-07-28,2017
1501286400,2812.13,2699.42,2806.75,84491.69,230818894.97,2733.5,direct,2017-07-29,2017
1501372800,2773.06,2621.68,2733.5,82717.65,222933516.31,2766.49,direct,2017-07-30,2017
1501459200,2916.3,2723.05,2766.49,91115.22,254836601.62,2883.27,direct,2017-07-31,2017
1501545600,2946.02,2659.62,2883.27,123174.1,341216428.6,2746.99,direct,2017-08-01,2017
1501632000,2773.8,2668.87,2746.99,81817.6,222534344.58,2720.53,direct,2017-08-02,2017
1501718400,2822.88,2717.62,2720.53,68102.9,188517085.91,2809.99,direct,2017-08-03,2017
1501804800,2892.67,2779.51,2809.99,68760.4,195800289.46,2878.49,direct,2017-08-04,2017
1501891200,3344.01,2875.91,2878.49,159402.96,503737620.4,3262.8,direct,2017-08-05,2017
1501977600,3295.07,3166.52,3262.8,60660.39,196484496.53,3232.03,direct,2017-08-06,2017
1502064000,3425.13,3198.51,3232.03,88111.88,294021645.24,3401.91,direct,2017-08-07,2017
1502150400,3494.87,3357.15,3401.91,106940.67,366169429.25,3429.38,direct,2017-08-08,2017
1502236800,3437.15,3251.03,3429.38,97062.76,324058681.71,3348.79,direct,2017-08-09,2017
1502323200,3453.84,3322.92,3348.79,71000.32,242024460.29,3425.67,direct,2017-08-10,2017
1502409600,3706.48,3409.79,3425.67,97564.43,345135492.36,3654.37,direct,2017-08-11,2017
1502496000,3967.26,3611.36,3654.37,123593.57,469532325.43,3871.62,direct,2017-08-12,2017
1502582400,4189.42,3847.31,3871.62,158586.97,638917500.34,4062.6,direct,2017-08-13,2017
1502668800,4336.71,3978.95,4062.6,128460.0,540927757.84,4327.94,direct,2017-08-14,2017
1502755200,4436.48,3837.13,4327.94,211581.81,872840682.33,4161.66,direct,2017-08-15,2017
1502841600,4398.06,3938.62,4161.66,112901.04,472960334.46,4387.4,direct,2017-08-16,2017
1502928000,4487.5,4194.1,4387.4,127475.88,554232802.49,4278.92,direct,2017-08-17,2017
1503014400,4362.73,3978.28,4278.92,144398.64,603898315.45,4105.37,direct,2017-08-18,2017
1503100800,4189.68,3957.46,4105.37,113724.38,462723151.89,4150.45,direct,2017-08-19,2017
1503187200,4182.29,4034.4,4150.45,70163.05,288193446.22,4066.6,direct,2017-08-20,2017
1503273600,4097.25,3966.93,4066.6,90644.62,365174045.82,4005.1,direct,2017-08-21,2017
1503360000,4142.68,3612.21,4005.1,169138.73,659657838.92,4089.7,direct,2017-08-22,2017
1503446400,4255.62,4070.49,4089.7,96649.15,402340258.48,4141.09,direct,2017-08-23,2017
1503532800,4364.11,4111.71,4141.09,72358.36,305373477.79,4318.35,direct,2017-08-24,2017
1503619200,4461.71,4292.63,4318.35,82901.88,362283252.98,4364.41,direct,2017-08-25,2017
1503705600,4379.28,4263.28,4364.41,46159.77,199403922.82,4352.3,direct,2017-08-26,2017
1503792000,4408.18,4321.12,4352.3,42516.01,185180843.1,4345.75,direct,2017-08-27,2017
1503878400,4403.13,4195.23,4345.75,75486.08,325285703.33,4390.31,direct,2017-08-28,2017
1503964800,4647.83,4350.22,4390.31,100801.36,455467850.19,4597.31,direct,2017-08-29,2017
1504051200,4644.06,4491.79,4597.31,68471.63,313466398.12,4583.02,direct,2017-08-30,2017
1504137600,4765.07,4580.13,4583.02,72293.57,338981145.1,4735.11,direct,2017-08-31,2017
1504224000,4925.23,4690.17,4735.11,102012.79,491140364.58,4921.85,direct,2017-09-01,2017
1504310400,4976.52,4448.64,4921.85,160770.39,747713818.1,4573.8,direct,2017-09-02,2017
1504396800,4719.78,4397.74,4573.8,102823.39,470135795.37,4612.92,direct,2017-09-03,2017
1504483200,4621.01,4098.58,4612.92,170399.25,737216060.51,4267.45,direct,2017-09-04,2017
1504569600,4496.67,4004.62,4267.45,158410.81,673846827.74,4409.08,direct,2017-09-05,2017
1504656000,4660.04,4401.53,4409.08,110931.13,504717245.65,4618.71,direct,2017-09-06,2017
1504742400,4690.55,4493.2,4618.71,70531.23,324939872.82,4635.6,direct,2017-09-07,2017
1504828800,4699.59,4130.88,4635.6,180364.02,786819863.5,4326.45,direct,2017-09-08,2017
1504915200,4402.15,4185.33,4326.45,77087.34,332195251.06,4335.13,direct,2017-09-09,2017
1505001600,4338.08,4032.15,4335.13,108075.24,451244396.53,4245.89,direct,2017-09-10,2017
1505088000,4364.42,4134.62,4245.89,88757.81,375254125.16,4217.9,direct,2017-09-11,2017
1505174400,4387.76,4074.97,4217.9,107041.94,453402207.42,4158.92,direct,2017-09-12,2017
1505260800,4174.58,3752.01,4158.92,186540.37,728385231.78,3870.29,direct,2017-09-13,2017
1505347200,3930.69,3218.98,3870.29,317592.57,1118258889.56,3243.08,direct,2017-09-14,2017
1505433600,3824.43,2979.88,3243.08,448551.92,1519153953.02,3713.76,direct,2017-09-15,2017
1505520000,3893.67,3551.83,3713.76,169361.61,627559216.22,3698.92,direct,2017-09-16,2017
1505606400,3796.56,3485.83,3698.92,96068.08,351250484.2,3689.61,direct,2017-09-17,2017
1505692800,4122.75,3689.0,3689.61,147927.08,586938661.3,4100.28,direct,2017-09-18,2017
1505779200,4120.71,3852.22,4100.28,123214.81,488897829.62,3907.96,direct,2017-09-19,2017
1505865600,4053.04,3846.76,3907.96,86645.15,342438072.5,3882.16,direct,2017-09-20,2017
1505952000,3912.79,3576.54,3882.16,145124.78,543570164.08,3617.27,direct,2017-09-21,2017
1506038400,3753.51,3505.81,3617.27,114717.36,414612501.81,3600.83,direct,2017-09-22,2017
1506124800,3813.39,3563.18,3600.83,67820.32,253370774.72,3788.02,direct,2017-09-23,2017
1506211200,3790.89,3633.88,3788.02,49661.76,183852135.74,3667.52,direct,2017-09-24,2017
1506297600,3971.5,3665.67,3667.52,100194.7,386674961.65,3932.83,direct,2017-09-25,2017
1506384000,3982.31,3858.75,3932.83,63252.3,248481868.86,3892.7,direct,2017-09-26,2017
1506470400,4232.35,3882.08,3892.7,117596.07,480358673.93,4212.2,direct,2017-09-27,2017
1506556800,4274.64,4112.88,4212.2,92228.17,386909537.01,4195.65,direct,2017-09-28,2017
1506643200,4237.51,4030.37,4195.65,97803.91,404599756.28,4172.79,direct,2017-09-29,2017
1506729600,4383.27,4164.25,4172.79,67493.68,290796939.99,4360.62,direct,2017-09-30,2017
1506816000,4412.62,4258.32,4360.62,60583.85,262485153.92,4403.09,direct,2017-10-01,2017
1506902400,4477.38,4364.67,4403.09,71201.48,314621927.61,4401.32,direct,2017-10-02,2017
1506988800,4435.99,4230.73,4401.32,81867.3,353046057.47,4314.18,direct,2017-10-03,2017
1507075200,4355.29,4183.57,4314.18,64081.96,272424730.47,4218.66,direct,2017-10-04,2017
